name,brand_names,category,uses,dosage_adult,dosage_child,side_effects,contraindications,interactions,generic_available,price_category
Paracetamol,"Calpol | Dolo 650 | Crocin",Analgesic / Antipyretic,"Fever; mild to moderate pain (headache, toothache, body ache)","500-1000mg every 4-6 hours, max 4000mg/day","10-15mg/kg every 4-6 hours","Rare at normal doses; overdose causes liver damage","Severe liver disease; alcohol dependency","Warfarin (bleeding risk); alcohol (liver damage)",Yes,"Low (₹2-5 per tablet)"
Amoxicillin,"Mox | Novamox | Amoxil",Antibiotic (Penicillin),"Bacterial infections: throat, ear, urinary tract, chest","500mg every 8 hours for 5-7 days","25mg/kg/day in divided doses","Diarrhea; nausea; rash; allergic reaction","Penicillin allergy","Warfarin (increased effect); oral contraceptives (reduced effect)",Yes,"Low (₹5-10 per capsule)"
Ibuprofen,"Brufen | Combiflam | Advil",NSAID (Anti-inflammatory),"Pain; fever; inflammation; arthritis; menstrual cramps","400mg every 6-8 hours with food, max 1200mg/day","5-10mg/kg every 6-8 hours","Stomach upset; ulcers; kidney strain; increased bleeding","Peptic ulcer; kidney disease; heart failure; pregnancy (3rd trimester)","Aspirin (bleeding risk); warfarin; ACE inhibitors",Yes,"Low (₹3-8 per tablet)"
Metformin,"Glucophage | Glycomet | Obimet",Antidiabetic (Biguanide),"Type 2 diabetes; prediabetes; PCOS","500mg twice daily with meals, increase gradually to 2000mg/day","Not recommended under 10 years","Nausea; diarrhea; metallic taste; lactic acidosis (rare)","Kidney disease (eGFR<30); liver disease; heavy alcohol use","Contrast dye (hold before CT scan); alcohol (lactic acidosis risk)",Yes,"Low (₹2-5 per tablet)"
Amlodipine,"Amlovas | Stamlo | Norvasc",Calcium Channel Blocker,"Hypertension (high blood pressure); angina","5-10mg once daily","Not established","Ankle swelling; flushing; headache; palpitations","Severe aortic stenosis; cardiogenic shock","Simvastatin (limit dose); cyclosporine; grapefruit juice",Yes,"Low (₹3-8 per tablet)"
Omeprazole,"Omez | Prilosec | Ocid",Proton Pump Inhibitor,"Acidity; GERD; peptic ulcer; H. pylori infection","20-40mg once daily before breakfast","0.7mg/kg/day","Headache; diarrhea; nausea; low magnesium (long term)","Severe liver disease","Clopidogrel (reduced antiplatelet effect); methotrexate",Yes,"Low (₹3-8 per capsule)"
Cetirizine,"Zyrtec | Alerid | Cetzine",Antihistamine,"Allergic rhinitis; urticaria (hives); itching; hay fever","10mg once daily","5mg once daily (6-12 years)","Drowsiness; dry mouth; headache","Severe kidney disease","Alcohol (increased sedation); CNS depressants",Yes,"Low (₹2-5 per tablet)"
Azithromycin,"Zithromax | Azee | Azithral",Antibiotic (Macrolide),"Respiratory tract infections; skin infections; STIs; typhoid","500mg once daily for 3-5 days","10mg/kg on day 1 then 5mg/kg for 4 days","Nausea; diarrhea; abdominal pain; QT prolongation","QT prolongation history; liver disease","Antacids (reduce absorption); warfarin; digoxin",Yes,"Medium (₹15-30 per tablet)"
Atorvastatin,"Lipitor | Atorva | Tonact",Statin (Cholesterol-lowering),"High cholesterol; cardiovascular disease prevention","10-80mg once daily at night","Not recommended under 10 years","Muscle pain (myopathy); liver enzyme rise; headache","Active liver disease; pregnancy","Clarithromycin (increased statin level); grapefruit juice; niacin",Yes,"Low-Medium (₹5-15 per tablet)"
Metronidazole,"Flagyl | Metrogyl | Aldezole",Antibiotic / Antiprotozoal,"Bacterial vaginosis; amoebic dysentery; giardia; dental infections","400-500mg three times daily for 5-7 days","7.5mg/kg three times daily","Metallic taste; nausea; dark urine; peripheral neuropathy (long term)","First trimester pregnancy; alcohol use","Alcohol (severe nausea/vomiting - disulfiram reaction); warfarin",Yes,"Low (₹2-5 per tablet)"
